Intervalo,X_min,X_max,Modelo,Error,Longitud
1,133,159,Polinomio (grado 2),74.84493200256634,28.7371102395086
1,133,159,Polinomio (grado 3),46.161653942411036,31.53678098416175
1,133,159,Polinomio (grado 4),23.052083470865135,26.094689372365803
1,133,159,Spline (s=0.1),42.92730017550095,161.1595091403901
1,133,159,Spline (s=1.0),42.90509670904453,160.78576413318646
2,160,186,Polinomio (grado 2),208.46044686405975,27.698583653684715
2,160,186,Polinomio (grado 3),134.76529945560188,27.15289292880247
2,160,186,Polinomio (grado 4),126.44657740011579,26.316266734445172
2,160,186,Spline (s=0.1),150.8296548239342,254.19066793796628
2,160,186,Spline (s=1.0),150.79977107464336,253.68148433858315
3,187,212,Polinomio (grado 2),423.21413267920394,25.868545679512057
3,187,212,Polinomio (grado 3),434.1207912121304,28.42316826646425
3,187,212,Polinomio (grado 4),439.6064560472962,27.912181178181605
3,187,212,Spline (s=0.1),738.6287103294923,536.3248085353657
3,187,212,Spline (s=1.0),738.1370643678039,536.1429262967409
4,213,239,Polinomio (grado 2),700.3620896543528,26.35234675988474
4,213,239,Polinomio (grado 3),692.4613116821222,27.097367471411697
4,213,239,Polinomio (grado 4),695.4529777065828,28.1065428651636
4,213,239,Spline (s=0.1),1514.2371242958304,894.0951596659814
4,213,239,Spline (s=1.0),1513.7746195084922,893.5116367443595
5,240,266,Polinomio (grado 2),665.7674458664698,26.055952397107554
5,240,266,Polinomio (grado 3),629.3570279938028,31.841792646263674
5,240,266,Polinomio (grado 4),621.6654697934082,38.446951436879026
5,240,266,Spline (s=0.1),912.6926647165006,641.829116357003
5,240,266,Spline (s=1.0),912.5167741693465,641.5286887124427
